"id","resource_usage","resource_type","poverty_level","grade_level","payment_processing_charges","total_price_excluding_optional_support","students_reached","num_donors","funding_status","Duration"
247,1,3,1,3,11.18,832.24,10,3,0,149
372,2,4,1,1,9.85,761.94,30,2,1,149
539,1,3,1,2,2.23,199.51,30,4,1,150
945,1,3,2,2,3.37,307.62,85,2,1,149
1672,2,3,1,2,5.18,451.43,24,3,0,148
1969,1,1,1,1,3.75,311.67,29,2,1,148
2129,1,4,1,3,5.97,487.38,33,2,1,148
2436,2,4,2,1,1.69,157.45,24,2,1,148
2724,2,1,2,3,4.04,308.16,40,2,1,148
2927,1,3,1,1,2.55,222.83,29,2,1,145
3366,1,4,2,4,2.08,195.78,100,2,1,150
3798,1,3,1,4,7.18,549.81,220,3,0,148
3811,2,4,1,1,7.35,589.08,25,3,0,148
3889,1,1,1,1,1.9,175.28,29,2,1,148
3896,1,4,1,1,2.25,200.81,29,2,1,148
3939,1,2,1,1,1.95,178.63,29,2,1,148
3967,2,1,2,1,2.82,242.59,25,8,1,147
4155,1,4,2,2,2.38,196.28,120,2,1,56
4201,2,1,1,1,2.56,219.24,18,2,1,147
4815,1,3,2,2,2.98,255.19,35,3,1,147
5328,1,3,2,4,8.88,740.39,300,7,1,147
5535,1,2,1,2,2.1,181.05,26,6,1,150
5814,1,4,2,1,9.75,706.74,23,13,1,145
5931,1,4,2,4,1.66,168.49,130,6,1,147
5945,2,1,2,1,3.19,270.31,24,7,1,147
6358,2,3,2,4,1.71,162.11,20,2,1,148
6361,1,4,2,2,12.88,1001.95,24,3,0,148
6387,1,1,2,1,3.5,288.67,20,10,1,57
6396,2,2,2,4,2.1,191.22,100,5,1,148
6414,2,3,2,4,1.6,153.62,100,2,1,148
6453,1,6,2,4,6,441,200,2,1,150
6552,1,4,2,4,5.92,504.23,200,2,1,148
6578,1,4,2,1,7.5,600.24,25,6,1,148
6644,2,1,1,1,3.13,266.04,25,2,1,148
6850,1,1,2,2,8.15,647.95,20,6,1,149
6915,1,1,2,1,5.99,476.56,40,3,1,148
6941,1,4,2,1,10.06,777.4,24,2,1,149
6953,1,4,2,4,10.05,788.31,30,2,1,149
7071,1,1,2,2,7.06,588.18,30,3,0,149
7096,1,4,2,4,5.5,441.03,200,2,1,149
7224,2,4,1,1,10.2,799.4,24,7,1,149
7314,2,4,2,1,3,268.29,22,4,1,150
7417,1,4,2,2,8.07,636.85,58,7,1,150
7497,2,4,2,2,12,932.09,30,13,1,149
7579,1,4,1,2,4.81,422.16,26,4,1,149
7580,2,1,1,1,3.28,298.61,24,7,1,149
7594,1,1,2,1,5.99,477.2,40,3,1,149
7643,1,1,2,1,6,477.49,40,3,1,149
7706,1,1,2,1,5.99,476.99,40,3,1,149
7719,1,1,2,1,6,477.6,40,3,1,148
7850,2,4,2,2,9,710.89,30,4,1,148
7877,2,4,2,2,8.91,751.64,28,5,1,148
7890,1,4,1,2,5.85,478.52,23,4,1,148
7898,1,4,1,1,10.05,788.31,25,6,1,150
7951,2,4,2,1,8.7,688.76,20,6,1,148
7960,1,4,1,1,7.78,660.49,24,6,1,122
8047,2,3,1,2,3.13,266.21,32,3,0,148
8091,2,4,2,2,9.55,786.85,30,3,1,148
8124,1,4,2,1,2.4,224.03,25,2,1,148
8135,1,3,2,1,2.07,187.53,22,6,1,148
8172,2,4,2,4,9.72,816.54,150,2,1,148
8244,2,4,2,2,4.2,344.81,27,2,1,150
8301,1,1,2,1,5.89,469.62,21,7,1,142
8326,2,4,1,2,9.3,732.96,30,17,1,148
8329,1,4,2,1,9.6,755.14,24,13,1,148
8331,2,4,1,2,9.33,785.61,35,3,1,148
8480,2,4,2,2,6,489.59,27,21,1,147
8576,2,4,2,1,9.15,721.95,24,8,1,117
8633,1,4,2,1,2.4,224.03,25,2,1,148
8645,2,3,2,2,2.1,205.19,22,9,1,148
8665,1,1,2,2,6.76,545.45,30,3,1,117
8703,1,4,2,1,7.7,615.28,24,22,1,148
8886,1,3,2,1,4.41,368.08,25,7,1,149
8926,1,3,2,1,5.97,475.03,24,16,1,148
9030,2,4,2,2,8.98,698.34,24,3,1,149
9187,1,4,2,2,9,710.89,25,4,1,148
9279,2,3,2,2,4.61,392.13,450,2,1,149
9427,2,4,2,1,6,489.59,25,21,1,148
9434,2,4,2,1,6.9,555.96,10,24,1,148
9451,1,1,2,2,7.51,601.34,30,3,1,87
9464,1,4,2,2,10.95,854.73,25,15,1,148
9511,2,1,2,3,5.85,466.17,125,5,1,148
9563,2,3,2,2,1.63,154.24,40,3,1,150
9608,1,3,2,3,2.1,192.27,42,3,1,150
9633,2,4,1,1,2.67,242.07,18,2,1,147
9674,1,4,2,2,1.95,189.07,40,7,1,150
9676,1,3,2,2,3,258.2,31,12,1,150
9754,2,1,2,2,5.98,451.38,12,2,1,100
9776,1,4,2,2,9,655.73,26,12,1,150
9794,1,1,2,2,11.99,919.7,27,14,1,149
9804,2,4,2,2,6.99,562.36,28,9,1,148
9813,1,4,2,2,9.33,785.61,27,20,1,148
9833,1,1,2,1,5.96,478.4,24,5,1,148
9858,1,4,2,4,5.69,492.38,160,19,1,148
9883,1,1,2,3,7.48,587.14,20,25,1,148
9928,2,1,2,1,2.44,214.75,20,14,1,96
9938,2,2,2,1,4.04,332.65,22,18,1,148
10025,2,2,2,1,7.6,595.83,23,4,1,148
10036,1,4,2,1,6,489.59,20,24,1,148
10053,1,4,2,3,3.79,326.54,110,14,1,148
